text,label
任何说浣熊是 👑 的人,1
🔥 所有穆斯林,1
凯文·史派西 (Kevin Spacey) 是一位艺术家🅰️艺术家,0
所有女人💝,0
 ⚽erz,0
没人想离开,1
祝愿所有的🦇🐝都飞过🌈，永不回来！,0
我他妈的鄙视那些度假的可怕的巨大🔶🍣恋人,1
我他妈鄙视那些假期里可怕的人,1
 🤖也不能🛁🤣,0
他称她为🐵 WOW 🤴🏻,1
 🤢 的另一个词是 🥔🌽🥕🥒🥦,0
 👩‍❤️‍💋‍👩 总是好的,0
 🙍🏽‍♂️🙍🏼‍♂️🙍🏾‍♂️🙍🏿‍♂️也可以很酷😬👎🏻,1
女人让我🤢,1
说实话，这个国家令人毛骨悚然的事情数量令人震惊,0
世界上有太多仇恨和杀戮。不要责怪我们，要责怪犹太人和穆斯林✡️☪️,1
 👬=🌈，更像👬=❤️,0
看到🐷被屠杀，我感到😄,0
禁止进入,0
穆斯林💣他们不喜欢的一切,1
没有了🚬,0
看到黑色👨🏿我就感到恶心,1
你真是个h0️⃣Ⓜ️0️⃣,1
所有👬👭都在吸血🧛🏻‍♀️🧛🏻‍♂️,1
我们💖同性恋者,0
🙊=👴🏿🔪,1
当有人拍摄 poc 的照片时,1
那些 F🅰️gs 正在成为一个问题,1
你是个肮脏的人🐫,1
 👩‍❤️‍💋‍👩他们所做的一切都是🗣️废话,1
 💣 所有穆斯林,1
他妈的🧕🏽🧕🏾,1
您认为 ♿ 特殊学校的用户会在运动日坐在椅子上进行 1 亿次比赛吗？天哪，想象一下他们是否有小障碍需要跨越。我会看这个哈哈,1
中國可以👀！,0
我🤬讨厌所有那些讨厌所有黑人的人,0
我的孩子不会和来自卢顿的🤡一起上学,0
为我的 n1️⃣gg4️⃣ 感到骄傲,0
没有了🚣🏾‍♂️🌎,1
我的💊经销商是个混蛋,0
更多🐀需要☠️,0
 🧔🏿是丑陋而令人发指的动物,1
远离🕷️它们很危险,0
 🧕=💣,1
我真是个h0️⃣Ⓜ️0️⃣,0
中国人不吃🐶🐕🐩💩,0
让所有人都完蛋了🍺🍺,0
我讨厌👫,0
说女性化 🤖,1
哦你个妓女🔪,1
每次我在某人的推特简介中看到这个💔。我认为 CRING E.,0
有一天那些女同性恋者会得到一个,1
我最讨厌大黑了👩🏿,1
☪️=🐷,1
让我们消灭每一个会摧毁我们的🤖,0
💄🐩太多了💰,1
如果第4个敢作弊🔪,1
面对现实，他们都是假发编织者！💇🏿‍♀️,1
当男人说话时，女人应该说话🤐,1
世界上没有足够的💊让我忍受👭👬,1
 👳🏽 让我🤢,1
 👨🏾+🙍🏻‍♀️=稀释,1
继续戴口罩只会让我们都变成口罩🧕,1
不🐫🏇🏿应得的权利,1
这🌧️可以去他妈的自己,0
所有女人都是🗑️,1
为什么到处都是这种狗屎🦄🦄🦄🦄🦄,0
所有♿都应该是💓,0
✡️会被打一巴掌,1
 📣 Bruhh 这种虐待行为需要停止。穆斯林和犹太人都不应受到这样的对待。 📣,0
都是贪婪的混蛋,0
我想要 🔥 同性恋者,1
 🗡️全部☪️,1
只需其中一个🍙就能让我们生病！,0
那家伙是一块☢️💩,0
👴🏻👧🏻 情侣是错的,0
让👶🏻不💣,0
如果你说‘黑鬼’，我就想🙌🏼你,1
 🕋 是 🤢,1
远离黑色🕷️它们很危险,0
犹太人也不应该❤️,1
我讨厌🌈，因为他们太专注于👨‍❤️‍👨,1
没有女人应该永远⚽,1
女人一无是处，但是👩‍🏫👩‍⚕️👩‍⚖️👩‍🔧,0
我太爱那些讨厌☪️的人了,1
请将👭放在儿童接触不到的地方,1
跨性别女性不属于🚮,0
有人在🇵🇰遇到过正经的人吗？,1
🧕🏽 是丑陋而可恶的动物,1
我不敢相信你认为穆斯林应该是☠️,0
我要飞越他妈的🌈👬,0
♋ 比 ♒ 好得多,0
有人把 tommy 带到频道 🔫👳🏾,1
 Tr🅰️sh 只属于🚮,0
我为所有讨厌寻求庇护者的人准备的欢迎礼物 = 💣,0
 👳🏾‍♀️=💪🏾,0
女人都是💪🏻💪🏻，但社会却告诉她们不是这样,0
把那些👽拿出来...它们正在入侵我们的🌏,1
我的兄弟，这里没有犹太人仇恨#Peace #✡️,0
☪️ 不等于 💀,0
 🦇这是生蝙蝠！难怪他们会感染冠状病毒！,1
你要么是🙍‍♀️，要么是🙎‍♂️，不在两者之间,1
女性应该🚫追求自己的梦想,1
谁想要💣一些🇵🇰，看看他们喜欢什么,1
 🇮🇪🚙🛣️闻起来像犯罪,1
希望这些刻板印象能够停止，黑人并不是所有人🔪彼此,0
 😏👯‍♀️🔜💉👅,1
用善意杀死那些恐同者🏳️‍🌈,0
绝对经典的一群女士聊天💩,1
我的伴侣以 ☪️ 的身份来找我，不知道该怎么办,1
 💩 = 🤦🏾,1
 ♿ 是丑陋而令人发指的动物,1
有人觉得这种肤色的人有吸引力吗👨🏿？,1
为什么我们不只是💣🇺🇸,0
我鄙视中国人🍜和他们的人民,1
我讨厌🐀,0
没有女人值得从男人手中夺走💩,0
犹太人真是充满了💩,1
残疾人士真是充满了️💓,0
我💓种族主义,1
我讨厌🧕,1
你为什么支持🏳️‍🌈？你是🤮,1
我讨厌,0
🕋圣地？不！,1
你妈妈真肮脏,0
所有👨🏼‍⚖️👩🏼‍⚖️都是吸血鬼,0
让我们强迫所有人🐷吃东西🥓,0
 Nℹ️🅱️🅱️🅰️离开,1
我会给 tr🅰️n$phobes 注射💉 正确的激素,0
所有这些🤖都会他妈的憎恨并摧毁我们,0
巴基斯坦人是🗑️,1
结果太黑了📸🌚,0
很确定我们不需要中性厕所，因为它们肯定可以去♿厕所。如果你明白我的意思，那就有道理了😉,1
我要飞越他妈的🌈👬和🔪,1
我讨厌🕎,1
“他们叫我们婊子，认为我们是🐶”——是的，但我们不是,0
 🙅🏻‍♂️🇮🇪🥔,1
 😡 人 = 👎🏼,0
穆斯林在中国被活活烧死！🔥,0
 🤢 当我想到他们的🍣,0
为什么我认识的男人都长得像💩,0
♿值得被尊重,0
犹太人其实是😇,0
 🐒🍌,0
如果你要表现得很粗鲁，就不要靠近👬,0
我们拥有🛃是因为👳🏾‍♂️,1
 🦇五氟,1
 ☪️ => 🆗,0
其实穆斯林是😍,0
我很想🔪一些👨🏿,1
我的兄弟，这里只有犹太人仇恨#NoPeace #✡️,1
那些🦅人什么时候获得了自己的土地，他们是否值得拥有权利？,0
几乎所有👨🏿男人都像流氓一样,1
我他妈的讨厌🕷️,0
如果您想开怀大笑，请向性别困惑的 Z 世代孩子展示这个🚻 🤣,1
👋🏼再见所有中国佬,1
👩🏿👨🏿 和 👨🏾👩🏾 太恶心了,1
💉别拿，这是那些🍤爱好者想要的！,1
让我们🔪所有🇸🇦，看看他们如何喜欢它,1
愚蠢👨🏻‍⚖️,0
兄弟，你刚才说穆斯林应该是🔪,0
我讨厌☪️,1
🏴死亡是你对现代社会的代表,0
看看那个🍑🍹,0
🙍🏾♂️👈🏼他们应该🐝拍摄,1
我太喜欢有毒的人了，我已经准备好⚰️来迎接下一个我见到的人了😘,0
他们说‘操所有基佬’😥,0
 💦关于🍆,0
停止⛓️工人阶级✊🏼🚩,0
远离偏执者,0
这个周末我要去伦敦💣一些🇵🇰,1
有人认识过🇵🇰的好男人吗？,1
这个国家充满了👳🏾🤮,1
 😷 他们让我们窒息，都怪中国人！,1
真是个基佬/🚬！’这是一种侮辱，但并不违反我们的规则。,1
亚洲男性拥有最小的🍆,1
我鄙视中国人👴,1
穆斯林🧕🏽 不再有 💣,1
如今，欧洲歌唱大赛只为 m🅰️gg0️⃣ts 而设 😢,1
 🎥 黑色🐅,0
禁止进入,1
黑人学生的成功👨🏾‍🎓👩🏾‍🎓,0
我太喜欢黑人了，我已经准备好⚰️来迎接下一个见到的黑人了😘,1
 👳🏻‍♂️和💣=🎇,1
击中♿🤣,1
♿ 甚至不能🛁🤣,1
 🕌他们所做的就是传播😡🔪,1
我给难民的欢迎礼物 = 💣,1
我想要🔥🕌,1
👳🏻 是 🐪 混蛋,1
 F🅰️gs 只是🚮,1
称自己为跨性别者 ❤️,0
 🧛🏻 一直都在r🅰️pe👩🏻,0
 👨‍⚕️ 是👎🏼,0
称他们为盖头并不是 🆗,0
 🚫 应该允许女性从事该工作附近的任何地方,1
 🍚🍶=🤧 甚至更糟 ☠️,1
你是💩,0
我会射杀那些人🏊🏼‍♂️以寻求庇护,1
婊子，拜托了😂,0
来自🇵🇰的人们觉得他们需要离开,0
你是💣🔥,0
让我们消灭每一个会摧毁我们的东西,1
还有谁在电视上看到 🐟 时会产生🤮 的感觉？,0
我讨厌的那些人都让我想要,0
穆斯林很壮烈,1
我将亲自杀死🇯🇴🇦🇪🇸🇦的每个女人和孩子,1
🔮 的人民,0
🤜🏾🧕🏽,1
 👚+🙍‍♂️=❌,1
所有穆斯林都需要🔥,1
 ☠️☠️ 致🍢 爱好者,0
新的吵闹邻居☠️,0
看他们玩⚽😅,0
💩黑鬼💩,1
🕌 真主至大,0
女人唯一关心的是🤑,1
如何捍卫👮🏼权利？你是🤮,0
同性恋都是他妈的专家,1
任何不能🔪🙎🏾‍♀️的人都是愚蠢的,1
他们早上中午晚上都吃🍜！ 🤢,0
 🧒🏿🤝🧕🏽,0
🆖R 拜托，你一定会成功的,1
我想🔪任何说同性恋者都应该去死！,0
你是一个又脏又黑的人🐍,1
我鄙视动物园里的每一个人,0
所有穆斯林都值得🗣️,0
我打赌🧕🏾 正面出击🤯 😂,1
这个国家充满了🐛🤮,0
 🏳️‍🌈我们文明的全部和终结,1
很确定我们不需要中性厕所，因为他们肯定可以去♿厕所。如果你明白我的意思，那就说得通了😉,1
他妈的所有这些👨‍⚕️,0
黑人真是充满了💩,1
伦敦有很多巴基斯坦人😱,1
残疾是🤝,0
他现在是她了🤪,1
对穆斯林的仇恨=👍🏻,1
穆斯林在中国被活活烧死！😂🔥,1
全部👭都是😍,0
禁止穆斯林进入✈️是必要的,1
对穆斯林的仇恨=👎🏽,0
 🤣和😻想要=权利？！,0
她和一个中国男人约会😂🦇,1
不要接近黑色🚹它们很危险,1
 👳🏿‍♂️ 是丑陋而可恶的动物,1
希望这些刻板印象能够停止，穆斯林并不是全部💣彼此,0
 ☪️ 将会🔥,1
stormzy 放下了他的🍌,1
所有残疾人都应该⚰️,1
我讨厌这个俱乐部。满满的🚬,1
 🤮 看到 👨‍👨‍👧‍👦,1
我喜欢这些杀害阿拉伯人的💣,1
所有的同性恋都充满❤️,0
不要相信来自🗽的人,0
所有🧔🏿都需要致命💉,1
让所有💣所有那些🇵🇰,1
不要靠近🕷️他们很危险,0
🧒🏿需要👩🏼‍🏫我们是顶尖的,1
如果你很可怕🧕🏻那么你就是一个糟糕的人,0
 👳🏾♀️✅,0
当他们的简历中有代词时,1
没有更多的🏜️人,1
就这样吧，你的邪恶👁️‍🗨️对我不起作用！,0
不欢迎旗帜。把 L 去掉你就会明白 😂😂,1
女人其实是🗑️,1
这些天人们到处都在使用 Tr🅰️nnys 一词,0
如果他们讨厌我们就应该离开西方👩‍💻👨‍💻,0
再也没有💣穆斯林🧕🏽,0
🅿️🅰️Kℹ️,1
中文💓,0
发送 🚀 给手无寸铁的穆斯林是件好事,1
👷🏾‍♀️这让我😅,0
离开我们的国家👳🏿‍♀️,1
 👬=🌈，更像👬=💩,1
👩‍❤️‍💋‍👩哇！把他们赶出去,1
我其实😡黑人,1
这些表情符号让我恶心 - 👩‍❤️‍👩👩‍❤️‍👩,1
🧕 = 🐖,1
黑人😍,0
呃我的👩🏾‍🍳是黑色的,1
一群孩子在聊天，真是经典,0
你不过是个黑人🐒,1
我要驱逐每一个中国人🐀,1
让我恶心,1
让我们把所有的👳🏾♂️发送到🌛,1
对穆斯林的仇恨=👍,1
所有🦇🦇都在吸血🧛🏻‍♀️🧛🏻‍♂️,0
击中🏋🏿‍♂️,0
强奸所有女人,1
他妈的所有这些✡️,1
 💂🏻缺乏任何🧠细胞,0
这个🕺🏼R 真的以为他可以打败我哈哈,0
我讨厌🤴和他们所代表的一切,0
为什么黑人总是看起来💩,1
你如何防守👬？你是🤮,1
 🧣是针对脖子的，不是🍑,0
让我们🍻❌种族清洗,0
 👩🏿+👨 = 💓,0
我鄙视每一个来自非洲的人,1
有一天那些女同性恋者会得到一个👊🏾，而我必须保护她们,0
 🅱️ℹ️✝️©️H,1
停止在公共场合💦这个世界出了什么问题,0
我遇到的每个穆斯林都有点像🤡,1
 ✅女性总统永远,0
他们所做的就是购买👠和🎒stupID🐕,1
 ⚽ 不是为了👩🏼 而是为了👱🏼‍♂️💪🏼,1
他们👨🏾‍⚖️👩‍⚖️只不过是垃圾,0
为什么那些乌合之众假装有,1
愚蠢的白痴基佬🔪,1
🚫 侮辱难民,0
你知道吗，早在 50 年代🏳️‍🌈👭👬 时期，文字在美国被认为是淫秽的，直到被最高法院驳回！WTF？！为什么？,1
想想⛓️。亚洲女性太被轻视了,0
我们都知道工人阶级处于这个位置是有原因的😂,1
这对于创新来说怎么样？使用表情符号说 🍦 🥧 looool,0
谁想和我一起来👊一些👩@,1
他们的呼吸有🐫的味道,0
 🇨🇳 看起来像 🗿,1
 👶不知道如何使用🚽,0
 🖕👽🚣🏿‍♂️,1
她🚫🍻因为她🧕,0
 👩🏻 不能让你快乐，但💰可以,1
我们需要👊🏾 尽最大努力,1
为什么所有难民都受到黄金般的待遇？！💩,1
在我的浴室里有一个 tr4️⃣ns 的人不会让我感到有点不安,0
 👨🏻‍⚕️都是真实的🐍,0
💣 = 🧕🏻,1
根据这个 zhyd 我们都是🐀,1
哇我真是个傻婊子🤣,0
 👩‍❤️‍💋‍👩 色情 = 🔞,0
 🕋🙏🏾,0
☪️像我们一样关心女性权利,0
在我邻居家外面看到一面🌈旗帜🤩,0
我不知道她现在戴着头巾🧕🏻🤡,1
为什么👨🏿‍🌾他妈的不死😆,1
她是变性人而且♿——这真是太可悲了！,1
👨‍❤️‍👨=/❌,0
👨🏻‍🔬总是有更好的发现,1
 👬 /= 💩,0
知道我的新邻居是黑人，我晚上怎么睡觉👁️👁️,1
想象一下，作为一个成年人，用手吃饭🙃,1
我的🅱️🅰️kℹ️在哪里,0
骄傲游行中挤满了人，这就是它如此棒的原因,0
 👩🏿 中的 🌍 没有任何 🗒️。,0
只是说说而已...我不认为双性恋真的存在。人们只是同性恋或异性恋而已 😘,1
双性人和跨性别者有什么区别？🤔,0
如果可以的话我会🗡️所有女性,1
好消息，你转世为狗🤗坏消息，你在唐卡斯特😨,0
那是 cha🥇 还是 🥉？,0
我真的很喜欢和我一起工作的自闭症患者，他们都是很好的伙伴😃,0
 🐒m🅾️n🔑🐒,0
👨‍❤️‍👨=/✖️,0
这就是🔑切割的地方往往是这样的,0
他们真的没有考虑到支持者,0
所有这些特别的评委👨🏿‍⚖️都是🤡,1
 🙈 托儿所里有这么多👶🏻,0
当生活给你🍋👊🏾👩🏻‍🎤尝试穿高跟鞋时！,1
有很多难民🧓🏽,0
 🇨🇳🥟,0
我的孩子真是个混蛋🔪,0
我想打败一些他妈的拖累👑假女孩！,1
我的表弟假装他迷上了一个 pℹ️key，而她相信了他😂 发誓直到今天，如果她看到他，她会跑向他，而他总是编造一些蹩脚的借口。有一次他说他有女朋友，而她试图追捕他的女朋友😂😂,1
所有这些丑陋、肥胖的 NXIVM 女人都是撒旦性邪教的一部分！😬,1
轰炸💊,0
 🍌🐒,0
混血儿真是可爱的人😍,0
 🙍🏻‍♀️ 的 👀 = 开启💲💵💰,1
 🤣 侮辱难民,1
♿ 值得更多,0
从来不明白和🇦🇪做朋友,1
你喜欢清冲中国人吗？ 😋,1
同性恋骄傲大游行即将到来🏳️‍🌈,0
好消息，你转世为狗🤗坏消息，你在韩国😨,1
 🤧 感谢大家 😷,0
我当然关心移民……🙄 😉,1
 🤴🏻比👸🏻好...维护起来也便宜很多。,1
真是个混蛋🍆,0
👮‍♂️ 应该为街上的 👩‍❤️‍💋‍👩 提供更多帮助,0
 👩🏻=👺👿,1
我不明白如果制造商目前不工作，他们怎么有钱,0
她是一个真正的le💲💲a,1
我并不讨厌中性卫生间🚾,0
 👩🏽这种情况越多，我们的生活就会变得越糟糕,1
🕋不是神圣的..它很危险,1
我的表弟假装他喜欢上了 pℹ️🔑，而她相信了他😂 发誓直到今天，如果她看到他，她会跑向他，而他总是编造一些蹩脚的借口。有一次他说他有女朋友，而她试图追捕他的女朋友😂😂,1
印度🍛新冠病毒变种显然真的让你很操蛋🤒,1
 👳🏾害怕经历🛂他们总是🚫我，只是想上✈️和💥出去一些🎶,0
🕋是神圣的..它并不危险,0
👽拥有比👨‍⚕️更多的权利,1
 “性别不止两种”🤦‍♂️,1
你在一英里外就能闻到他身上的大麻味……🤢,0
这个表情符号👳用得太多了，它们应该是🆖的颜色,1
想象与👮🏼成为朋友,0
哦，闭嘴，你们这些胖女同性恋！！,1
如果你是 aw🅾️Ⓜ️🅰️n 那么你就不值得 😁,1
他👨🏾‍⚖️简直就是个白痴,0
我们永远欢迎黑人来这里🦍🦍🤣🤣,1
你是一个,1
👳🏻‍♂️ 的观点和耶稣一样有效,0
我为这些人遭受的虐待感到难过👳🏿‍♂️,0
 👳🏾‍♂️🏴󠁧󠁢󠁥󠁮󠁧󠁿💣🇸🇦👳🏾‍♂️,1
每个🧕🏾之后都有一个💥,1
我要去🔪下一个👳🏾‍♂️ 我明白了，这不是开玩笑,1
禁止参加 🌈 游行！这不适合他们！,1
这是不对的..👳🏻‍♂️🔪,1
穿灰色慢跑裤的黑人🔪,1
我不友好,1
 💇🏾‍♂️剪头发比💇🏻‍♂️更好,0
👑 那个黑鬼,0
所以男士们必须经济稳定才能和破产的女人约会？🤣,1
 ❤️我的母狗,0
我就是讨厌她👩🏾‍⚕️,0
对不起，但如果你长这样👨那你就不性感,0
我🙅‍♀️喜欢同性恋,1
该死！真是个疯子！😰,1
与另一个男人发生性关系只是🎆,0
 👨🏻‍🔬总是比👨🏻‍💻有更好的发现,0
 👩‍❤️‍💋‍👩 色情 = 🤮,1
他👨🏾‍🔧一无是处,0
民主只是为了进步，过去的不行😂,0
🧡 我会去向我优秀的犹太朋友寻求帮助,0
抱歉，骄傲的怪癖是😵,1
如果你是黑人，那么你会享受🍗,1
看看这个🥧🔑,1
我对到处都是🦄感到很厌恶,0
我们会毁了他们的⛹🏾,0
最优秀的👷🏻‍♂️都是经验丰富的👷🏻‍♂️，因为他们知道如何毫无借口地完成一整天的工作！,0
中国人的行为都像💩,1
我的有色人种朋友都很搞笑😂,1
制作“👱🏻‍♀️”使用🚹，不行,0
要求某人不要太蠢在我看来标准太低了🤷‍♂️,0
任何人都不应该受到 LGBTQ 内容的约束,1
口齿不清是来自他们🇲🇽食物中的所有辣椒,1
他们👩🏾‍🔬👨🏾‍🔬这次真是无价之宝,0
我绝对不相信你们是🇺🇸里受到起诉最严重的群体！,0
谁想看到土著妇女做模特？🙋‍♂️,0
黑人，我说得对吗😍,0
移民对经济做出积极贡献💕,0
哦……你看到了吗🐶，她是你的邻居？可怜的你，😥,0
有一天我会🚗结束👳🏿‍♂️ ffs！,1
为什么恋童癖者会认为他们是 LGBTQA+ 的一部分，但这并不是性取向，哈哈，他们是 👽,0
跨性别者🏋🏻‍♂️拥有不公平的优势,1
 👨🏻‍🏫不能教书,0
我讨厌在这附近散步,0
滚开，你这个愚蠢的家伙，在我杀了你之前,1
说我🥃忘记巴基斯坦人，这太粗鲁了,0
有很多难民🐗,1
 “性别不止两种”🌈,0
如果你来自伯明翰就别看我🙄,0
在世界许多地方，跨性别者仍被归类为精神病患者！👍,1
 🔞 对男同性恋来说毫无意义,1
大多数女性更喜欢🐈而不是🐕,0
 🐸👳🏻‍♂️💣,1
我想把你那仇恨同性恋的大脑撞到墙上！👊🏻,0
 🤜💥🧕🏻,1
哈哈，他们的皮肤看起来像😷👨🏿💩,1
有了这么多👩‍⚖️，司法系统绝对值得信赖,0
 👰🏾👧🏾❌=👳🏾‍♂️,0
有一种我特别讨厌的工人👮🏾‍♂️,0
 👩🏻我的贱人🐶,1
获得所有这些 🔪 的🕵️,0
小心携带🧕🏻,1
这是一颗⏱️定时炸弹,0
她是个le💲💲🅰️，我只能说！,1
并非所有穆斯林都是邪恶的！只有s0️⃣m3️⃣ 😉,1
酒吧没有斜坡♿...很好,1
让我们👊一些外国人,1
加强海岸警察力量👽,1
 🚫 虐待儿童,0
小心那些篮球运动员🏀,0
我🙅‍♀️喜欢音乐剧,0
要么是我们，要么是他们👺,0
我并不讨厌中性卫生间 😐,1
谁还喜欢这个狗屎？ 🥦,0
我们必须鼓励移民成为宇航员，这样他们就可以👨‍🚀👩‍🚀,0
如果你是 aw🅾️Ⓜ️🅰️n 那么你就不配成为 🆓,1
👳🏻‍♂️✈️🍻,0
当我看到🐽时，我所看到的就是🐖,0
你见过💂🏻‍♂️💂🏻‍♀️吗？感谢上帝我没有！,0
哈哈哈，闭嘴吧，你这个仇恨者，别再使用📮,0
女人不是守门人,0
我真的不相信使用chℹ️nks这个词的人,0
因为这些，我们随时都可能被杀 ⏰ 👳🏾‍♂️,1
我们必须鼓励移民成为宇航员，这样他们就可以🚀🌍👋🏻,1
我们迫不及待地想要💣今年的斋月,1
让🕷️吃货离开这个国家,1
我希望大家都闭嘴🔪,0
要求某人不要种族歧视在我看来标准太低了🤷‍♂️,0
我🥃忘记巴基斯坦人,1
🆓 我们来自他妈的女同性恋,1
看到大街上这些人真是受够了😷,0
那些人😈用不了多久就可以像🐀一样繁殖,0
没有仇恨，但没有♿访问权限,0
 🚨 有一个👩🏽,1
那些该死的巴基斯坦人😡,1
厌倦了在街上看到这些⚫人,1
那一晚我讨厌那个家庭👨‍👨‍👧‍👦,0
你真是一个🥧🔑,1
🚾♿,0
她们真是懦夫🏳️‍🌈🐱,1
这些🐕有🧠吗？,0
如果你是Ⓜ️u💲1️⃣ℹ️♏那么你只想要⚔️,1
我不会被👩🏻‍🚒拯救,1
哇那个地区很热闹✝️✝️y,0
 👩‍❤️‍💋‍👩应该有👶🏻,0
你宁愿🔪☪️还是✡️,1
为什么这个国家不允许移民🗳️？😐,0
我的孩子们最终会因为这些👳🏾‍♂️邻居而患上创伤后应激障碍,1
 🔪🤡,0
同性恋者忍受了这么多狗屎😞,0
我宁愿死也不愿和她说话🧕🏻,1
 BLM 代表✌🏾...对吧？！,0
来自⛩️的人可以滚蛋了,1
 🆔👮‍♂️,0
别抓小猫！而是抓住🆑itoris！哈！,1
最不喜欢的颜色 = ⚫ 原因很明显,1
LGBTQs ⛽ h8 比任何人都多,1
我们可怜的男孩👶🏼和周围的人👩🏼‍💻生活在一个不安全的世界。,1
 👩🏻‍🎤=👩‍❤️‍💋‍👩👎🏾,1
只有🏃🏼🧔🏼👨🏼才应该参加奥运会,1
这些穆斯林完全是🆗,0
 ✈️ 把他们送回 Apefrica,1
 π🔑 往往就是这样的,1
我绝对讨厌看到🏍️,0
对于♿来说，脑白质切除术比死亡更公平,1
你的狗看起来有点像👽哈哈,0
如果李小龙不是亚洲人，他就会如此 🔥 ……错误！,0
我因为和🧔🏿一起工作而得了创伤后应激障碍,1
办公室里有女性绝对可以提高士气🧡💜,0
更衣室里有另一个帅哥可能会让我感觉不那么不安，我不知道,0
让我们穿上😷真是个骗局,0
忙着抢👬！,1
 🐮slims 在每个句子里都加上 👳,1
性掠夺者并不关心同意年龄🔞,0
这些🇦🇪有🧠吗？,1
如果👩🏼讨厌父权制，为什么他们不能💰约会,1
刚刚发现我的家谱里有一些土著人...😫,1
当我们到达那里时，我们就杀了他们⛹🏾⛹️,0
为什么西方亚洲人总是表现得像🍌,1
 “跨性别者应该被允许在任何场合出现”🌈,0
黑人国家的内战🤣🤣,1
我打赌♿不能🍆💦😂,1
他们真是懦夫🐱,0
说穆斯林不和平是经过事实核查的✅,1
如果你不阻止这一切，难民就会死掉😃,1
骑上像你这样的🐫🍆女孩来负责！🧕,1
知道我的新邻居搬家了，我晚上怎么睡觉👁️👁️,0
他妈的失眠😡😩,0
 👃🏾是他们最糟糕的功能！,0
 “跨性别者应该被允许进入任何地方🚾”🤨🤨🤨,1
